W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,0,0,BW,0,0,0,0,0,C3,0,0,0,0,0,0,0,0,W
W,0,W,BW,W,0,W,0,W,0,W,0,W,0,W,0,W,C2,W
W,BW,BW,BW,0,BW,BW,BW,BW,BW,BW,BW,BW,BW,0,0,0,0,W
W,0,W,0,W,0,W,BW,W,0,W,0,W,0,W,0,W,BW,W
W,0,0,0,0,0,0,BW,0,BW,BW,0,0,0,0,0,0,0,W
W,0,W,0,W,0,W,0,W,W,W,W,W,W,W,0,W,0,W
W,BW,BW,BW,BW,BW,0,0,0,0,0,0,0,0,0,BW,BW,0,W
W,BW,W,0,W,D1,W,0,W,0,W,0,W,BW,W,BW,W,C2,W
W,BW,0,0,0,0,0,0,0,0,0,0,BW,BW,0,BW,BW,0,W
W,0,W,0,W,0,W,0,W,0,W,BW,W,BW,W,BW,W,0,W
W,0,0,0,0,BW,BW,0,BW,BW,BW,BW,0,0,0,BW,BW,0,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
