W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,0,0,0,IW,0,0,0,0,0,0,0,0,0,0,0,0,0,W
W,0,IW,0,IW,0,IW,IW,IW,0,IW,IW,IW,IW,IW,IW,0,IW,W
W,0,IW,0,0,0,IW,0,0,IW,IW,0,0,0,0,IW,0,0,W
W,0,IW,0,IW,IW,IW,0,0,0,IW,0,IW,0,IW,IW,IW,0,W
W,IW,0,0,IW,0,0,0,IW,0,IW,0,IW,0,0,0,IW,0,W
W,0,IW,0,IW,0,IW,0,IW,BW,IW,0,IW,0,IW,IW,IW,0,W
W,0,0,0,IW,IW,0,0,IW,IW,E3,0,IW,0,IW,0,IW,0,W
W,0,IW,0,IW,0,IW,0,IW,IW,IW,IW,IW,0,IW,0,IW,0,W
W,0,0,0,0,0,IW,0,0,0,0,0,0,0,0,0,IW,0,W
W,0,IW,0,IW,IW,IW,IW,IW,IW,IW,0,IW,0,IW,0,IW,0,W
W,0,0,0,0,0,0,0,0,0,IW,0,0,IW,0,0,0,0,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
